PhraseId,SentenceId,Phrase,Sentiment
1,1,"A series of escapades demonstrating the adage that what is good for the goose is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story .",Negative
64,2,"This quiet , introspective and entertaining independent is worth seeking .",Positive
82,3,"Even fans of Ismail Merchant 's work , I suspect , would have a hard time sitting through this one .",Negative
117,4,"A positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder of a Shakespearean tragedy or a juicy soap opera .",Positive
157,5,Aggressive self-glorification and a manipulative whitewash .,Negative
167,6,A comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis .,Positive
199,7,"Narratively , Trouble Every Day is a plodding mess .",Negative
214,8,"The Importance of Being Earnest , so thick with wit it plays like a reading from Bartlett 's Familiar Quotations",Positive
248,9,But it does n't leave you with much .,Negative
260,10,You could hate it for the same reason .,Negative
272,11,"There 's little to recommend Snow Dogs , unless one considers cliched dialogue and perverse escapism a source of high hilarity .",Negative
307,12,"Kung Pow is Oedekerk 's realization of his childhood dream to be in a martial-arts flick , and proves that sometimes the dreams of youth should remain just that .",Negative
353,13,The performances are an absolute joy .,Positive
364,14,Fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .,Positive
408,15,"I still like Moonlight Mile , better judgment be damned .",Positive
424,16,"A welcome relief from baseball movies that try too hard to be mythic , this one is a sweet and modest and ultimately winning story .",Positive
459,17,"a bilingual charmer , just like the woman who inspired it",Positive
474,18,Like a less dizzily gorgeous companion to Mr. Wong 's In the Mood for Love -- very much a Hong Kong movie despite its mainland setting .,Positive
517,19,As inept as big-screen remakes of The Avengers and The Wild Wild West .,Negative
537,20,It 's everything you 'd expect -- but nothing more .,Positive
552,21,"Best indie of the year , so far .",Positive
564,22,"Hatfield and Hicks make the oddest of couples , and in this sense the movie becomes a study of the gambles of the publishing world , offering a case study that exists apart from all the movie 's political ramifications .",Positive
620,23,It 's like going to a house party and watching the host defend himself against a frothing ex-girlfriend .,Negative
648,24,That the Chuck Norris `` grenade gag '' occurs about 7 times during Windtalkers is a good indication of how serious-minded the film is .,Positive
687,25,The plot is romantic comedy boilerplate from start to finish .,Positive
703,26,"It arrives with an impeccable pedigree , mongrel pep , and almost indecipherable plot complications .",Positive
726,27,A film that clearly means to preach exclusively to the converted .,Positive
742,28,"While The Importance of Being Earnest offers opportunities for occasional smiles and chuckles , it does n't give us a reason to be in the theater beyond Wilde 's wit and the actors ' performances .",Negative
787,29,The latest vapid actor 's exercise to appropriate the structure of Arthur Schnitzler 's Reigen .,Negative
811,30,"More vaudeville show than well-constructed narrative , but on those terms it 's inoffensive and actually rather sweet .",Positive
840,31,Nothing more than a run-of-the-mill action flick .,Positive
849,32,"Hampered -- no , paralyzed -- by a self-indulgent script ... that aims for poetry and ends up sounding like satire .",Negative
882,33,"Ice Age is the first computer-generated feature cartoon to feel like other movies , and that makes for some glacial pacing early on .",Positive
917,34,"There 's very little sense to what 's going on here , but the makers serve up the cliches with considerable dash .",Positive
945,35,"Cattaneo should have followed the runaway success of his first film , The Full Monty , with something different .",Positive
971,36,"They 're the unnamed , easily substitutable forces that serve as whatever terror the heroes of horror movies try to avoid .",Negative
1003,37,It almost feels as if the movie is more interested in entertaining itself than in amusing us .,Negative
